model,alpha,userId,num_truth,num_recommended,num_matched,precision@10,recall@10,hit_rate@10
HYBRID,0.9,71061,14,10,0,0.0,0.0,0.0
HYBRID,0.9,152825,11,10,1,0.1,0.09090909090909091,1.0
HYBRID,0.9,108856,11,10,0,0.0,0.0,0.0
HYBRID,0.9,75860,3,10,0,0.0,0.0,0.0
HYBRID,0.9,73207,1,10,0,0.0,0.0,0.0
HYBRID,0.9,126457,66,10,3,0.3,0.045454545454545456,1.0
HYBRID,0.9,25112,6,10,0,0.0,0.0,0.0
HYBRID,0.9,52970,123,10,6,0.6,0.04878048780487805,1.0
HYBRID,0.9,26890,7,10,2,0.2,0.2857142857142857,1.0
HYBRID,0.9,116544,26,10,1,0.1,0.038461538461538464,1.0
HYBRID,0.9,29686,9,10,0,0.0,0.0,0.0
HYBRID,0.9,80911,15,10,2,0.2,0.13333333333333333,1.0
HYBRID,0.9,70354,19,10,0,0.0,0.0,0.0
HYBRID,0.9,133649,11,10,1,0.1,0.09090909090909091,1.0
HYBRID,0.9,60227,15,10,1,0.1,0.06666666666666667,1.0
HYBRID,0.9,113279,18,10,0,0.0,0.0,0.0
HYBRID,0.9,135256,16,10,0,0.0,0.0,0.0
HYBRID,0.9,32752,5,10,0,0.0,0.0,0.0
HYBRID,0.9,144252,5,10,0,0.0,0.0,0.0
HYBRID,0.9,157234,5,10,0,0.0,0.0,0.0
HYBRID,0.9,36938,16,10,0,0.0,0.0,0.0
HYBRID,0.9,149902,16,10,1,0.1,0.0625,1.0
HYBRID,0.9,145116,9,10,0,0.0,0.0,0.0
HYBRID,0.9,20862,3,10,1,0.1,0.3333333333333333,1.0
HYBRID,0.9,26159,3,10,0,0.0,0.0,0.0
HYBRID,0.9,136399,14,10,0,0.0,0.0,0.0
HYBRID,0.9,129285,19,10,1,0.1,0.05263157894736842,1.0
HYBRID,0.9,30817,16,10,0,0.0,0.0,0.0
HYBRID,0.9,123461,2,10,0,0.0,0.0,0.0
HYBRID,0.9,22768,20,10,2,0.2,0.1,1.0
HYBRID,0.9,38954,4,10,0,0.0,0.0,0.0
HYBRID,0.9,90119,6,10,1,0.1,0.16666666666666666,1.0
HYBRID,0.9,113805,37,10,3,0.3,0.08108108108108109,1.0
HYBRID,0.9,85541,11,10,1,0.1,0.09090909090909091,1.0
HYBRID,0.9,88627,7,10,1,0.1,0.14285714285714285,1.0
HYBRID,0.9,46879,7,10,1,0.1,0.14285714285714285,1.0
HYBRID,0.9,147155,2,10,0,0.0,0.0,0.0
HYBRID,0.9,127679,5,10,3,0.3,0.6,1.0
HYBRID,0.9,104597,2,10,1,0.1,0.5,1.0
HYBRID,0.9,124784,10,10,2,0.2,0.2,1.0
HYBRID,0.9,14999,13,10,1,0.1,0.07692307692307693,1.0
HYBRID,0.9,136772,33,10,2,0.2,0.06060606060606061,1.0
HYBRID,0.9,88828,18,10,0,0.0,0.0,0.0
HYBRID,0.9,63003,43,10,0,0.0,0.0,0.0
HYBRID,0.9,72053,1,10,1,0.1,1.0,1.0
HYBRID,0.9,77338,5,10,0,0.0,0.0,0.0
HYBRID,0.9,102343,3,10,1,0.1,0.3333333333333333,1.0
HYBRID,0.9,11064,7,10,0,0.0,0.0,0.0
HYBRID,0.9,123634,6,10,0,0.0,0.0,0.0
HYBRID,0.9,36896,6,10,2,0.2,0.3333333333333333,1.0
HYBRID,0.9,106329,42,10,2,0.2,0.047619047619047616,1.0
HYBRID,0.9,145971,4,10,0,0.0,0.0,0.0
HYBRID,0.9,110987,2,10,1,0.1,0.5,1.0
HYBRID,0.9,59600,20,10,0,0.0,0.0,0.0
HYBRID,0.9,72432,1,10,0,0.0,0.0,0.0
HYBRID,0.9,75256,24,10,0,0.0,0.0,0.0
HYBRID,0.9,150555,34,10,1,0.1,0.029411764705882353,1.0
HYBRID,0.9,83391,5,10,0,0.0,0.0,0.0
HYBRID,0.9,119507,14,10,3,0.3,0.21428571428571427,1.0
HYBRID,0.9,120775,4,10,0,0.0,0.0,0.0
HYBRID,0.9,65391,13,10,0,0.0,0.0,0.0
HYBRID,0.9,60265,30,10,0,0.0,0.0,0.0
HYBRID,0.9,125701,4,10,0,0.0,0.0,0.0
HYBRID,0.9,12431,3,10,0,0.0,0.0,0.0
HYBRID,0.9,103496,3,10,0,0.0,0.0,0.0
HYBRID,0.9,110924,3,10,2,0.2,0.6666666666666666,1.0
HYBRID,0.9,134452,6,10,1,0.1,0.16666666666666666,1.0
HYBRID,0.9,13994,22,10,3,0.3,0.13636363636363635,1.0
HYBRID,0.9,44982,5,10,0,0.0,0.0,0.0
HYBRID,0.9,15836,4,10,3,0.3,0.75,1.0
HYBRID,0.9,157726,2,10,0,0.0,0.0,0.0
HYBRID,0.9,123162,4,10,0,0.0,0.0,0.0
HYBRID,0.9,7137,30,10,0,0.0,0.0,0.0
HYBRID,0.9,139445,3,10,0,0.0,0.0,0.0
HYBRID,0.9,113816,7,10,0,0.0,0.0,0.0
HYBRID,0.9,70749,3,10,1,0.1,0.3333333333333333,1.0
HYBRID,0.9,139420,4,10,0,0.0,0.0,0.0
HYBRID,0.9,31652,3,10,0,0.0,0.0,0.0
HYBRID,0.9,59147,1,10,0,0.0,0.0,0.0
HYBRID,0.9,10399,4,10,0,0.0,0.0,0.0
HYBRID,0.9,15324,2,10,1,0.1,0.5,1.0
HYBRID,0.9,81308,17,10,0,0.0,0.0,0.0
HYBRID,0.9,158490,25,10,0,0.0,0.0,0.0
HYBRID,0.9,71303,14,10,1,0.1,0.07142857142857142,1.0
HYBRID,0.9,50797,39,10,0,0.0,0.0,0.0
HYBRID,0.9,130776,10,10,1,0.1,0.1,1.0
HYBRID,0.9,102626,38,10,0,0.0,0.0,0.0
HYBRID,0.9,110145,10,10,1,0.1,0.1,1.0
HYBRID,0.9,76332,8,10,1,0.1,0.125,1.0
HYBRID,0.9,126956,4,10,0,0.0,0.0,0.0
HYBRID,0.9,66770,3,10,1,0.1,0.3333333333333333,1.0
HYBRID,0.9,57624,3,10,0,0.0,0.0,0.0
HYBRID,0.9,121001,15,10,1,0.1,0.06666666666666667,1.0
HYBRID,0.9,21159,33,10,1,0.1,0.030303030303030304,1.0
HYBRID,0.9,111552,4,10,0,0.0,0.0,0.0
HYBRID,0.9,53676,4,10,4,0.4,1.0,1.0
