model,alpha,userId,num_truth,num_recommended,num_matched,precision@10,recall@10,hit_rate@10
HYBRID,0.5,71061,14,10,0,0.0,0.0,0.0
HYBRID,0.5,152825,11,10,0,0.0,0.0,0.0
HYBRID,0.5,108856,11,10,0,0.0,0.0,0.0
HYBRID,0.5,75860,3,10,0,0.0,0.0,0.0
HYBRID,0.5,73207,1,10,0,0.0,0.0,0.0
HYBRID,0.5,126457,66,10,2,0.2,0.030303030303030304,1.0
HYBRID,0.5,25112,6,10,0,0.0,0.0,0.0
HYBRID,0.5,52970,123,10,2,0.2,0.016260162601626018,1.0
HYBRID,0.5,26890,7,10,0,0.0,0.0,0.0
HYBRID,0.5,116544,26,10,0,0.0,0.0,0.0
HYBRID,0.5,29686,9,10,0,0.0,0.0,0.0
HYBRID,0.5,80911,15,10,1,0.1,0.06666666666666667,1.0
HYBRID,0.5,70354,19,10,0,0.0,0.0,0.0
HYBRID,0.5,133649,11,10,0,0.0,0.0,0.0
HYBRID,0.5,60227,15,10,0,0.0,0.0,0.0
HYBRID,0.5,113279,18,10,0,0.0,0.0,0.0
HYBRID,0.5,135256,16,10,0,0.0,0.0,0.0
HYBRID,0.5,32752,5,10,0,0.0,0.0,0.0
HYBRID,0.5,144252,5,10,0,0.0,0.0,0.0
HYBRID,0.5,157234,5,10,0,0.0,0.0,0.0
HYBRID,0.5,36938,16,10,0,0.0,0.0,0.0
HYBRID,0.5,149902,16,10,0,0.0,0.0,0.0
HYBRID,0.5,145116,9,10,0,0.0,0.0,0.0
HYBRID,0.5,20862,3,10,0,0.0,0.0,0.0
HYBRID,0.5,26159,3,10,0,0.0,0.0,0.0
HYBRID,0.5,136399,14,10,0,0.0,0.0,0.0
HYBRID,0.5,129285,19,10,1,0.1,0.05263157894736842,1.0
HYBRID,0.5,30817,16,10,0,0.0,0.0,0.0
HYBRID,0.5,123461,2,10,0,0.0,0.0,0.0
HYBRID,0.5,22768,20,10,0,0.0,0.0,0.0
HYBRID,0.5,38954,4,10,0,0.0,0.0,0.0
HYBRID,0.5,90119,6,10,0,0.0,0.0,0.0
HYBRID,0.5,113805,37,10,5,0.5,0.13513513513513514,1.0
HYBRID,0.5,85541,11,10,0,0.0,0.0,0.0
HYBRID,0.5,88627,7,10,1,0.1,0.14285714285714285,1.0
HYBRID,0.5,46879,7,10,0,0.0,0.0,0.0
HYBRID,0.5,147155,2,10,0,0.0,0.0,0.0
HYBRID,0.5,127679,5,10,1,0.1,0.2,1.0
HYBRID,0.5,104597,2,10,0,0.0,0.0,0.0
HYBRID,0.5,124784,10,10,2,0.2,0.2,1.0
HYBRID,0.5,14999,13,10,0,0.0,0.0,0.0
HYBRID,0.5,136772,33,10,1,0.1,0.030303030303030304,1.0
HYBRID,0.5,88828,18,10,0,0.0,0.0,0.0
HYBRID,0.5,63003,43,10,0,0.0,0.0,0.0
HYBRID,0.5,72053,1,10,0,0.0,0.0,0.0
HYBRID,0.5,77338,5,10,0,0.0,0.0,0.0
HYBRID,0.5,102343,3,10,0,0.0,0.0,0.0
HYBRID,0.5,11064,7,10,0,0.0,0.0,0.0
HYBRID,0.5,123634,6,10,0,0.0,0.0,0.0
HYBRID,0.5,36896,6,10,2,0.2,0.3333333333333333,1.0
HYBRID,0.5,106329,42,10,3,0.3,0.07142857142857142,1.0
HYBRID,0.5,145971,4,10,0,0.0,0.0,0.0
HYBRID,0.5,110987,2,10,0,0.0,0.0,0.0
HYBRID,0.5,59600,20,10,0,0.0,0.0,0.0
HYBRID,0.5,72432,1,10,0,0.0,0.0,0.0
HYBRID,0.5,75256,24,10,2,0.2,0.08333333333333333,1.0
HYBRID,0.5,150555,34,10,2,0.2,0.058823529411764705,1.0
HYBRID,0.5,83391,5,10,0,0.0,0.0,0.0
HYBRID,0.5,119507,14,10,0,0.0,0.0,0.0
HYBRID,0.5,120775,4,10,0,0.0,0.0,0.0
HYBRID,0.5,65391,13,10,1,0.1,0.07692307692307693,1.0
HYBRID,0.5,60265,30,10,1,0.1,0.03333333333333333,1.0
HYBRID,0.5,125701,4,10,2,0.2,0.5,1.0
HYBRID,0.5,12431,3,10,0,0.0,0.0,0.0
HYBRID,0.5,103496,3,10,0,0.0,0.0,0.0
HYBRID,0.5,110924,3,10,0,0.0,0.0,0.0
HYBRID,0.5,134452,6,10,0,0.0,0.0,0.0
HYBRID,0.5,13994,22,10,0,0.0,0.0,0.0
HYBRID,0.5,44982,5,10,0,0.0,0.0,0.0
HYBRID,0.5,15836,4,10,3,0.3,0.75,1.0
HYBRID,0.5,157726,2,10,0,0.0,0.0,0.0
HYBRID,0.5,123162,4,10,0,0.0,0.0,0.0
HYBRID,0.5,7137,30,10,0,0.0,0.0,0.0
HYBRID,0.5,139445,3,10,0,0.0,0.0,0.0
HYBRID,0.5,113816,7,10,0,0.0,0.0,0.0
HYBRID,0.5,70749,3,10,1,0.1,0.3333333333333333,1.0
HYBRID,0.5,139420,4,10,0,0.0,0.0,0.0
HYBRID,0.5,31652,3,10,0,0.0,0.0,0.0
HYBRID,0.5,59147,1,10,0,0.0,0.0,0.0
HYBRID,0.5,10399,4,10,0,0.0,0.0,0.0
HYBRID,0.5,15324,2,10,0,0.0,0.0,0.0
HYBRID,0.5,81308,17,10,0,0.0,0.0,0.0
HYBRID,0.5,158490,25,10,0,0.0,0.0,0.0
HYBRID,0.5,71303,14,10,0,0.0,0.0,0.0
HYBRID,0.5,50797,39,10,0,0.0,0.0,0.0
HYBRID,0.5,130776,10,10,0,0.0,0.0,0.0
HYBRID,0.5,102626,38,10,0,0.0,0.0,0.0
HYBRID,0.5,110145,10,10,0,0.0,0.0,0.0
HYBRID,0.5,76332,8,10,0,0.0,0.0,0.0
HYBRID,0.5,126956,4,10,0,0.0,0.0,0.0
HYBRID,0.5,66770,3,10,1,0.1,0.3333333333333333,1.0
HYBRID,0.5,57624,3,10,0,0.0,0.0,0.0
HYBRID,0.5,121001,15,10,1,0.1,0.06666666666666667,1.0
HYBRID,0.5,21159,33,10,0,0.0,0.0,0.0
HYBRID,0.5,111552,4,10,0,0.0,0.0,0.0
HYBRID,0.5,53676,4,10,1,0.1,0.25,1.0
HYBRID,0.5,14528,5,10,0,0.0,0.0,0.0
HYBRID,0.5,91753,16,10,2,0.2,0.125,1.0
HYBRID,0.5,73190,5,10,0,0.0,0.0,0.0
HYBRID,0.5,135317,12,10,0,0.0,0.0,0.0
