model,alpha,userId,num_truth,num_recommended,num_matched,precision@10,recall@10,hit_rate@10
HYBRID,0.6,71061,14,10,0,0.0,0.0,0.0
HYBRID,0.6,152825,11,10,0,0.0,0.0,0.0
HYBRID,0.6,108856,11,10,0,0.0,0.0,0.0
HYBRID,0.6,75860,3,10,0,0.0,0.0,0.0
HYBRID,0.6,73207,1,10,0,0.0,0.0,0.0
HYBRID,0.6,126457,66,10,3,0.3,0.045454545454545456,1.0
HYBRID,0.6,25112,6,10,0,0.0,0.0,0.0
HYBRID,0.6,52970,123,10,2,0.2,0.016260162601626018,1.0
HYBRID,0.6,26890,7,10,1,0.1,0.14285714285714285,1.0
HYBRID,0.6,116544,26,10,0,0.0,0.0,0.0
HYBRID,0.6,29686,9,10,0,0.0,0.0,0.0
HYBRID,0.6,80911,15,10,3,0.3,0.2,1.0
HYBRID,0.6,70354,19,10,0,0.0,0.0,0.0
HYBRID,0.6,133649,11,10,0,0.0,0.0,0.0
HYBRID,0.6,60227,15,10,1,0.1,0.06666666666666667,1.0
HYBRID,0.6,113279,18,10,0,0.0,0.0,0.0
HYBRID,0.6,135256,16,10,0,0.0,0.0,0.0
HYBRID,0.6,32752,5,10,0,0.0,0.0,0.0
HYBRID,0.6,144252,5,10,0,0.0,0.0,0.0
HYBRID,0.6,157234,5,10,0,0.0,0.0,0.0
HYBRID,0.6,36938,16,10,0,0.0,0.0,0.0
HYBRID,0.6,149902,16,10,1,0.1,0.0625,1.0
HYBRID,0.6,145116,9,10,0,0.0,0.0,0.0
HYBRID,0.6,20862,3,10,1,0.1,0.3333333333333333,1.0
HYBRID,0.6,26159,3,10,0,0.0,0.0,0.0
HYBRID,0.6,136399,14,10,0,0.0,0.0,0.0
HYBRID,0.6,129285,19,10,1,0.1,0.05263157894736842,1.0
HYBRID,0.6,30817,16,10,0,0.0,0.0,0.0
HYBRID,0.6,123461,2,10,0,0.0,0.0,0.0
HYBRID,0.6,22768,20,10,0,0.0,0.0,0.0
HYBRID,0.6,38954,4,10,0,0.0,0.0,0.0
HYBRID,0.6,90119,6,10,1,0.1,0.16666666666666666,1.0
HYBRID,0.6,113805,37,10,5,0.5,0.13513513513513514,1.0
HYBRID,0.6,85541,11,10,1,0.1,0.09090909090909091,1.0
HYBRID,0.6,88627,7,10,1,0.1,0.14285714285714285,1.0
HYBRID,0.6,46879,7,10,1,0.1,0.14285714285714285,1.0
HYBRID,0.6,147155,2,10,0,0.0,0.0,0.0
HYBRID,0.6,127679,5,10,3,0.3,0.6,1.0
HYBRID,0.6,104597,2,10,1,0.1,0.5,1.0
HYBRID,0.6,124784,10,10,2,0.2,0.2,1.0
HYBRID,0.6,14999,13,10,1,0.1,0.07692307692307693,1.0
HYBRID,0.6,136772,33,10,2,0.2,0.06060606060606061,1.0
HYBRID,0.6,88828,18,10,0,0.0,0.0,0.0
HYBRID,0.6,63003,43,10,0,0.0,0.0,0.0
HYBRID,0.6,72053,1,10,1,0.1,1.0,1.0
HYBRID,0.6,77338,5,10,0,0.0,0.0,0.0
HYBRID,0.6,102343,3,10,0,0.0,0.0,0.0
HYBRID,0.6,11064,7,10,0,0.0,0.0,0.0
