model,alpha,top_k,evaluated_users,precision@10,recall@10,hit_rate@10,average_matches,average_truth_items
HYBRID,0.8,10,100,0.07600000000000001,0.10496444769873184,0.44,0.76,13.01
HYBRID,0.7,10,100,0.075,0.09876056001313685,0.44,0.75,13.01
HYBRID,0.9,10,100,0.07300000000000001,0.10373339311473607,0.44,0.73,13.01
HYBRID,0.6,10,100,0.063,0.0844274967349516,0.36,0.63,13.01
HYBRID,0.5,10,100,0.038000000000000006,0.03889665257910746,0.22,0.38,13.01
