# PROTOCOL: multi-item truth set per user (KNN models, src/ml/evaluate_model.py)
# NOT the same protocol as evaluation/cf_eval_scores.csv (leave-last-out,
# single held-out rating per user). Do NOT compare hit_rate@10 directly.
# Regenerate: python scripts/run_model_evaluation.py
model,top_k,positive_threshold,evaluated_users,precision@10,recall@10,hit_rate@10,average_matches,average_truth_items
KNN_CF,10,4.0,100,0.07300000000000001,0.09811429520152051,0.46,0.73,13.01
KNN_CONTENT,10,4.0,100,0.0030000000000000005,0.001101190476190476,0.02,0.03,13.01
